step,q1,q2,cv,q3,ch,mse,log_mse,mae,log_mae,mu_x,mu_y,sigma_x,sigma_y,xopt_runtime,xopt_error,run,best_mae
0,10.0,-10.0,0.0,10.0,0.0,2.8923974326744428e-08,-17.35859489440918,0.00017351825954392552,-8.65922737121582,-5.606640343103209e-07,-3.382152272024541e-06,0.00015706980775576085,0.0001820810721255839,0.4555415000068024,0.0,0.0,0.00017351825954392552
1,10.0,-10.0,0.0,10.0,0.0,2.8923974326744428e-08,-17.35859489440918,0.00017351825954392552,-8.65922737121582,-5.606640343103209e-07,-3.382152272024541e-06,0.00015706980775576085,0.0001820810721255839,0.004507799982093275,0.0,0.0,0.00017351825954392552
2,10.0,-10.0,0.0,10.0,0.00025,4.14540757276427e-08,-16.998680114746094,0.0002848969306796789,-8.163383483886719,0.00011193934187758714,-3.382152272024541e-06,0.00015706980775576085,0.0001820810721255839,0.007423899951390922,0.0,0.0,0.00017351825954392552
3,10.0,-10.0,0.00025,10.0,0.0,1.1806733368757705e-07,-15.952011108398438,0.000468724116217345,-7.665496349334717,-5.606640343103209e-07,0.0002985880128107965,0.00015706980775576085,0.0001820810721255839,0.006128000095486641,0.0,0.0,0.00017351825954392552
4,10.5,-10.0,0.0,10.0,0.0,3.399113879254401e-08,-17.197166442871094,0.00018834962975233793,-8.577210426330566,-6.396427352228784e-07,-3.563232667147531e-06,0.00017590029165148735,0.00019239322864450514,0.003222100087441504,0.0,0.0,0.00017351825954392552
5,10.0,-10.5,0.0,10.0,0.0,2.5372919765231927e-08,-17.48958396911621,0.0001628061436349526,-8.722949981689453,-5.523883714886324e-07,-3.0353371585079003e-06,0.00015562676708213985,0.00016281005810014904,0.003910599974915385,0.0,0.0,0.0001628061436349526
6,10.0,-10.0,0.0,10.5,0.0,2.9525443423494835e-08,-17.3380126953125,0.0001749659568304196,-8.650918960571289,-5.506569209501322e-07,-3.4939064335048897e-06,0.0001536353083793074,0.00018820748664438725,0.0023175999522209167,0.0,0.0,0.0001628061436349526
7,10.2,-10.2,-0.00025,10.2,0.0001,1.2549908490200323e-07,-15.89096736907959,0.0005226586945354939,-7.556581974029541,4.441527562448755e-05,-0.0003065183700527996,0.00016259464609902352,0.0001808554952731356,0.002355200005695224,0.0,0.0,0.0001628061436349526
8,10.035,-10.035,0.00016250000000000002,10.035,1.75e-05,6.634587634835043e-08,-16.528385162353516,0.0003703092806972563,-7.901172161102295,7.310088221856859e-06,0.00019303750013932586,0.00015804597933311015,0.00018187743262387812,0.004733800073154271,0.0,0.0,0.0001628061436349526
9,10.165,-10.165,-0.00016250000000000002,10.165,8.25e-05,7.090659437380964e-08,-16.461902618408203,0.00040818494744598866,-7.803790092468262,3.6544450267683715e-05,-0.00020028147264383733,0.00016163721738848835,0.0001810808462323621,0.003918000031262636,0.0,0.0,0.0001628061436349526
10,10.05775,-10.05775,0.00010562500000000002,10.05775,2.8874999999999997e-05,4.472234493846372e-08,-16.922792434692383,0.00030698825139552355,-8.088701248168945,1.2426085959305055e-05,0.00012435170356184244,0.00015867834736127406,0.00018174258002545685,0.003035800065845251,0.0,0.0,0.0001628061436349526
11,10.142249999999999,-10.142249999999999,-0.00010562500000000002,10.142249999999999,7.112500000000001e-05,4.761268002084762e-08,-16.860166549682617,0.00033385283313691616,-8.004810333251953,3.142842251691036e-05,-0.00013130561274010688,0.0001610126782907173,0.00018122488108929247,0.0020065000280737877,0.0,0.0,0.0001628061436349526
12,10.072537500000001,-10.072537500000001,6.865625000000002e-05,10.072537500000001,3.626875e-05,3.574954732243896e-08,-17.146728515625,0.00026579565019346774,-8.232782363891602,1.5751487808302045e-05,7.967292913235724e-05,0.00015908852219581604,0.0001816539588617161,0.0018952999962493777,0.0,0.0,0.0001628061436349526
13,10.229015,-10.229015,2.7462500000000007e-05,10.229015,-0.0002354925,4.1920262816574905e-08,-16.987497329711914,0.00030855071963742375,-8.083623886108398,-0.00010655978985596448,2.9965705834911205e-05,0.00016338539717253298,0.00018066508346237242,0.003222899977117777,0.0,0.0,0.0001628061436349526
