step,q1,q2,cv,q3,ch,mse,log_mse,mae,log_mae,mu_x,mu_y,sigma_x,sigma_y,xopt_runtime,xopt_error,run,best_mae,learned_d1,learned_d2,learned_d3,learned_d4,learned_d5,learned_d6,error_d1,error_d2,error_d3,error_d4,error_d5,error_d6
0,10.0,-10.0,0.0,10.0,0.0,2.664279996622554e-08,-17.440746307373047,0.00016519649943802506,-8.708374977111816,-4.810091240869951e-07,-3.472792968750582e-06,0.00013611702888738364,0.00018636837194208056,0.4432537000393495,0.0,0.0,0.00016519649943802506,0.20000001278810098,0.49999999887916996,0.17999999072245446,0.23999999271271383,0.15999998144028887,0.5199999575873553,1.278810096705385e-08,1.120830039891274e-09,9.27754553736726e-09,7.287286163393247e-09,1.855971112907362e-08,4.241264472959472e-08
1,-0.05157685925185632,-10.883198391755833,7.267527963964712e-05,1.2866858162254846,0.00011766824980692762,1.4939139703074034e-07,-15.716695785522461,0.00043986717355437577,-7.729037761688232,6.355206278385594e-05,8.08758704806678e-05,0.0005224354681558907,6.844299787189811e-05,0.0022847000509500504,0.0,0.0,0.00016519649943802506,0.20000001278810098,0.49999999887916996,0.17999999072245446,0.23999999271271383,0.15999998144028887,0.5199999575873553,1.278810096705385e-08,1.120830039891274e-09,9.27754553736726e-09,7.287286163393247e-09,1.855971112907362e-08,4.241264472959472e-08
2,-6.096916676480228e-05,10.113538913534358,1.4463410654818461e-05,2.6589759420364358e-05,-0.004655772295738657,5.906324986426625e-06,-12.0394868850708,0.0026248442009091377,-5.9427337646484375,-0.0024214419536292553,1.031055762723554e-05,0.00011857000936288387,0.0002676132717169821,0.0024826000444591045,0.0,0.0,0.00016519649943802506,0.20000001278810098,0.49999999887916996,0.17999999072245446,0.23999999271271383,0.15999998144028887,0.5199999575873553,1.278810096705385e-08,1.120830039891274e-09,9.27754553736726e-09,7.287286163393247e-09,1.855971112907362e-08,4.241264472959472e-08
3,-0.0001772354940672684,-25.77405832952704,-0.002704016074130966,-4.1660372931118716e-05,-0.00130634263507419,9.302784746978432e-06,-11.585196495056152,0.004228853154927492,-5.465824604034424,-0.0006744618294760585,-0.0028664967976510525,0.0010852403938770294,0.00029054880724288523,0.0020167999900877476,0.0,0.0,0.00016519649943802506,0.20000001278810098,0.49999999887916996,0.17999999072245446,0.23999999271271383,0.15999998144028887,0.5199999575873553,1.278810096705385e-08,1.120830039891274e-09,9.27754553736726e-09,7.287286163393247e-09,1.855971112907362e-08,4.241264472959472e-08
4,1.8274185366826763e-06,-5.9615914074180445,3.639065602421561e-05,-1.7542680196256354e-05,3.976594457447401e-05,8.017739361321219e-08,-16.33902359008789,0.00026220091967843473,-8.246399879455566,2.249058525194414e-05,3.83969018002972e-05,0.0003954014100600034,7.225422905321466e-06,0.004073400050401688,0.0,0.0,0.00016519649943802506,0.20000001278810098,0.49999999887916996,0.17999999072245446,0.23999999271271383,0.15999998144028887,0.5199999575873553,1.278810096705385e-08,1.120830039891274e-09,9.27754553736726e-09,7.287286163393247e-09,1.855971112907362e-08,4.241264472959472e-08
5,1.570341383258931e-06,-1.920870311364125,0.0001921831128596339,-2.316251113790708e-06,0.00019482274582277175,8.844897081417002e-08,-16.240840911865234,0.0004711960209533572,-7.660236358642578,0.00010253721120534465,0.00020267683430574834,0.00026245572371408343,6.950819079065695e-05,0.0020606000907719135,0.0,0.0,0.00016519649943802506,0.20000001278810098,0.49999999887916996,0.17999999072245446,0.23999999271271383,0.15999998144028887,0.5199999575873553,1.278810096705385e-08,1.120830039891274e-09,9.27754553736726e-09,7.287286163393247e-09,1.855971112907362e-08,4.241264472959472e-08
6,-0.01000514914178077,8.7615906882306,0.0014041709088576447,0.001465070656804932,0.0014272271162531942,2.793397470668424e-06,-12.788251876831055,0.0023891383316367865,-6.036822319030762,0.0007419013418257236,0.0014866606798022985,7.669988553971052e-05,0.0002444526762701571,0.0053186999866738915,0.0,0.0,0.00016519649943802506,0.20000001278810098,0.49999999887916996,0.17999999072245446,0.23999999271271383,0.15999998144028887,0.5199999575873553,1.278810096705385e-08,1.120830039891274e-09,9.27754553736726e-09,7.287286163393247e-09,1.855971112907362e-08,4.241264472959472e-08
7,4.833941551600271e-06,-1.4225484842034084,-0.0001322698164562492,-2.099244768214275e-06,-0.0001285973823452657,5.781093648238311e-08,-16.666088104248047,0.0003696067724376917,-7.90307092666626,-6.571235280716792e-05,-0.0001420382468495518,0.00024623944773338735,7.747291965642944e-05,0.0020664000185206532,0.0,0.0,0.00016519649943802506,0.20000001278810098,0.49999999887916996,0.17999999072245446,0.23999999271271383,0.15999998144028887,0.5199999575873553,1.278810096705385e-08,1.120830039891274e-09,9.27754553736726e-09,7.287286163393247e-09,1.855971112907362e-08,4.241264472959472e-08
8,-3.8490949268148596e-05,-8.525080404346019,-0.00022376049592785993,-4.559884138735504e-05,8.299204453175553e-05,1.7463376877913106e-07,-15.560574531555176,0.0005405307747423649,-7.522958755493164,4.5343836973188445e-05,-0.000237151951296255,0.0004810923710465431,3.4977696486748755e-05,0.002611299976706505,0.0,0.0,0.00016519649943802506,0.20000001278810098,0.49999999887916996,0.17999999072245446,0.23999999271271383,0.15999998144028887,0.5199999575873553,1.278810096705385e-08,1.120830039891274e-09,9.27754553736726e-09,7.287286163393247e-09,1.855971112907362e-08,4.241264472959472e-08
9,-0.00022419391684358995,-12.124990944396252,-4.55850616708324e-05,0.00014641902737306303,-4.166387459318945e-05,1.8854044014915416e-07,-15.483953475952148,0.00041247677290812135,-7.793330669403076,-1.8941911548608914e-05,-4.6918619773350656e-05,0.0006032043602317572,9.002815932035446e-05,0.005706599913537502,0.0,0.0,0.00016519649943802506,0.20000001278810098,0.49999999887916996,0.17999999072245446,0.23999999271271383,0.15999998144028887,0.5199999575873553,1.278810096705385e-08,1.120830039891274e-09,9.27754553736726e-09,7.287286163393247e-09,1.855971112907362e-08,4.241264472959472e-08
10,3.4349009271362194e-05,3.944225927583996,-7.870964848421256e-05,0.00018538679204971385,-7.618692825475729e-05,2.535759691113526e-08,-17.49018669128418,0.0002453321940265596,-8.312897682189941,-3.921396273653954e-05,-8.675377466715872e-05,7.413423736579716e-05,0.0001645946758799255,0.0025777999544516206,0.0,0.0,0.00016519649943802506,0.20000001278810098,0.49999999887916996,0.17999999072245446,0.23999999271271383,0.15999998144028887,0.5199999575873553,1.278810096705385e-08,1.120830039891274e-09,9.27754553736726e-09,7.287286163393247e-09,1.855971112907362e-08,4.241264472959472e-08
11,1.0188807240301969e-05,2.3424115872528937,9.898378919612146e-07,1.0306058990592775e-06,4.399704988498383e-06,1.7393245954622216e-08,-17.867183685302734,0.00013621851394418627,-8.901249885559082,2.9143986921553733e-06,-1.631784698474803e-06,0.0001250025670742616,0.00013834208948537707,0.002124299993738532,0.0,0.0,0.00013621851394418627,0.20000001278810098,0.49999999887916996,0.17999999072245446,0.23999999271271383,0.15999998144028887,0.5199999575873553,1.278810096705385e-08,1.120830039891274e-09,9.27754553736726e-09,7.287286163393247e-09,1.855971112907362e-08,4.241264472959472e-08
12,-0.011562966637240423,-18.76132168789721,0.0036644971402591694,-0.011768685443029185,-0.0004265286153584695,1.5576117220916785e-05,-11.069771766662598,0.004624169319868088,-5.376458644866943,-0.00021805397409480065,0.003893807530403137,0.00083537632599473,0.00018923991592600942,0.0025670999893918633,0.0,0.0,0.00013621851394418627,0.20000001278810098,0.49999999887916996,0.17999999072245446,0.23999999271271383,0.15999998144028887,0.5199999575873553,1.278810096705385e-08,1.120830039891274e-09,9.27754553736726e-09,7.287286163393247e-09,1.855971112907362e-08,4.241264472959472e-08
13,1.3011344539131528e-06,2.8816414558405152,-0.0003045974305190756,-6.326320121194476e-07,0.00019447676257204675,1.3346868854569038e-07,-15.829399108886719,0.0005554978852160275,-7.495645523071289,0.00010167909931624308,-0.0003263268154114485,0.00010782860772451386,0.00014715535508003086,0.002070699934847653,0.0,0.0,0.00013621851394418627,0.20000001278810098,0.49999999887916996,0.17999999072245446,0.23999999271271383,0.15999998144028887,0.5199999575873553,1.278810096705385e-08,1.120830039891274e-09,9.27754553736726e-09,7.287286163393247e-09,1.855971112907362e-08,4.241264472959472e-08
14,2.240687484415646e-06,2.7170995289828266,0.0012449081645960413,-1.4130658031401473e-06,-0.0012305974521750868,2.1661232949554687e-06,-13.042571067810059,0.002087397500872612,-6.171837329864502,-0.0006393365329131484,0.001319297356531024,0.00011306393571430817,0.00014446349814534187,0.002015999983996153,0.0,0.0,0.00013621851394418627,0.20000001278810098,0.49999999887916996,0.17999999072245446,0.23999999271271383,0.15999998144028887,0.5199999575873553,1.278810096705385e-08,1.120830039891274e-09,9.27754553736726e-09,7.287286163393247e-09,1.855971112907362e-08,4.241264472959472e-08
15,2.2581712649090474e-06,10.820496538846747,-7.715752638271344e-05,-3.9661580180606644e-07,-7.333197602531468e-05,5.802648317398962e-08,-16.66236686706543,0.00033580465242266655,-7.99898099899292,-3.8668214983772486e-05,-8.721058111405e-05,0.0001402357593178749,0.00027961592422798276,0.005280200042761862,0.0,0.0,0.00013621851394418627,0.20000001278810098,0.49999999887916996,0.17999999072245446,0.23999999271271383,0.15999998144028887,0.5199999575873553,1.278810096705385e-08,1.120830039891274e-09,9.27754553736726e-09,7.287286163393247e-09,1.855971112907362e-08,4.241264472959472e-08
