step,q1,q2,cv,q3,ch,mse,log_mse,mae,log_mae,mu_x,mu_y,sigma_x,sigma_y,xopt_runtime,xopt_error,run,best_mae
0,10.0,-10.0,0.0,10.0,0.0,2.8923974326744428e-08,-17.35859489440918,0.00017351825954392552,-8.65922737121582,-5.606640343103209e-07,-3.382152272024541e-06,0.00015706980775576085,0.0001820810721255839,0.43313189991749823,0.0,0.0,0.00017351825954392552
1,-30.0,30.0,0.006,-30.0,-0.006,1.371964935970027e-05,-11.196681022644043,0.005925097037106752,-5.128558158874512,-0.002709186403080821,0.001995606580749154,0.0021733890753239393,0.00026721879839897156,0.00213939999230206,0.0,0.0,0.00017351825954392552
2,24.576104592213632,-3.007255620849516,-0.004176754209318845,6.9431661584141215,0.004197069967783531,2.679333192645572e-05,-10.52735710144043,0.007410296238958836,-4.9048848152160645,0.0018859022529795766,-0.004758513532578945,0.0006841534050181508,0.0008476076764054596,0.002703599981032312,0.0,0.0,0.00017351825954392552
3,13.026925266555343,-8.631235106658432,0.0017469267039774896,23.72713106197247,-0.0017666527298710118,7.999558874871582e-06,-11.736124038696289,0.0037753544747829437,-5.57926082611084,-0.0007951942388899624,0.0026867093984037638,4.30415639129933e-05,0.0005438603111542761,0.0021080999867990613,0.0,0.0,0.00017351825954392552
4,4.324817803239776,-24.101807321218367,9.397797001213387e-06,-8.278682501616396,-7.406912958429388e-06,2.67953737420612e-07,-15.132451057434082,0.0004801020259037614,-7.641511917114258,-5.1884398999391124e-08,1.1845443623315077e-05,0.0006886537303216755,0.0002477556699886918,0.0026533000636845827,0.0,0.0,0.00017351825954392552
5,-1.6675954888413433,6.099471442964817,-0.0008164469355967675,9.125178633345001,-0.002459657554904308,2.2016308776073856e-06,-13.026311874389648,0.002223074436187744,-6.1088643074035645,-0.0011070406762883067,-0.0009737111977301538,5.444473208626732e-05,0.000230200428632088,0.005558700067922473,0.0,0.0,0.00017351825954392552
6,30.0,-14.99385527283717,0.006,-12.349629315288507,0.006,2.9162758437450975e-05,-10.442618370056152,0.00845156330615282,-4.773403644561768,0.0026881922967731953,0.004207753576338291,0.0029014425817877054,0.00020979267719667405,0.002087000058963895,0.0,0.0,0.00017351825954392552
7,15.715106746925123,-12.917340750546147,-0.00013362823966487535,-1.763540658958613,0.004808641692706487,4.942698978993576e-06,-12.217598915100098,0.002646274399012327,-5.934602737426758,0.0021611107513308525,-0.00012504940968938172,0.0007164556300267577,3.773094249481801e-06,0.002533299964852631,0.0,0.0,0.00017351825954392552
8,25.46851866568825,-28.157253351887498,-0.0003195298304294814,8.325031738549482,-0.0009632100794891562,1.366670403513126e-06,-13.503132820129395,0.0017746435478329659,-6.334155559539795,-0.0004386103246361017,-0.000361434678779915,0.0012808892643079162,0.000668307940941304,0.0026516999350860715,0.0,0.0,0.00017351825954392552
9,-19.768900087001704,25.750643401100362,0.00024240231947576086,13.800432538709716,0.0012839517504190392,1.2850786106355372e-06,-13.564690589904785,0.001819839933887124,-6.309006690979004,0.0005743222427554429,0.0003317125956527889,0.0008130099740810692,0.0010146001586690545,0.0020833000307902694,0.0,0.0,0.00017351825954392552
10,22.03623282904281,29.420216478091987,0.00020007224300145447,-21.026170361228033,0.00014800693451665363,1.0655641347057099e-07,-16.05459213256836,0.00046064535854384303,-7.682882308959961,6.500547169707716e-05,9.926075290422887e-05,0.00036447762977331877,0.0002282806672155857,0.002062199986539781,0.0,0.0,0.00017351825954392552
11,0.23785492637062558,27.23384758671452,-0.00038396098719182685,8.364535078256974,0.001021876864002359,8.467987413496303e-07,-13.981802940368652,0.0015526952920481563,-6.4677629470825195,0.00045779149513691664,-0.00046351447235792875,0.0004773518303409219,0.0007854268187656999,0.002904199995100498,0.0,0.0,0.00017351825954392552
12,0.3377449632076963,5.83425728512443,0.0003330505010244016,4.275829220141352,-0.0053787365651001865,6.01658439336461e-06,-12.020990371704102,0.0029166245367377996,-5.8373284339904785,-0.00242049852386117,0.000352611968992278,3.0200844776118174e-05,0.0002568270137999207,0.002640100079588592,0.0,0.0,0.00017351825954392552
13,12.671250375084854,3.528483699779413,0.00045485956313460183,-14.976220284410383,0.0005376823222211095,3.4033234896924114e-07,-14.893342971801758,0.0008876585052348673,-7.026923656463623,0.00023953081108629704,0.0002913564967457205,0.0006228220299817622,9.072045213542879e-05,0.0029751999536529183,0.0,0.0,0.00017351825954392552
14,-6.565423695185168,-23.596128613614564,0.00011913042728895368,-27.258949009890866,-0.000321924840538429,8.376243386010174e-06,-11.69011116027832,0.00224861316382885,-6.097441673278809,-0.00012707941641565412,4.744649777421728e-05,0.004088039975613356,6.013458551024087e-05,0.002882300061173737,0.0,0.0,0.00017351825954392552
15,25.55616656995684,22.255941235672267,0.00041850844141880466,6.828681379683246,0.00044889462441110466,3.6326487133919727e-06,-12.525548934936523,0.001984751084819436,-6.222261905670166,0.00020154504454694688,0.00042766513070091605,0.00010189037129748613,0.0026091914623975754,0.0022360000293701887,0.0,0.0,0.00017351825954392552
16,23.81118729138251,19.403900275161057,-0.000304466043420129,-28.415046012049704,-0.0011866011640360038,8.827120723253756e-07,-13.940266609191895,0.0013491216814145446,-6.608301639556885,-0.0005380817456170917,-0.00010368737275712192,0.0009938511066138744,0.00042085396125912666,0.0020723999477922916,0.0,0.0,0.00017351825954392552
17,3.7185694313769173,-21.83621796729281,0.00024173722418746976,12.212989089978084,0.0002116584129977488,1.5872612380007922e-07,-15.656085968017578,0.00063530751504004,-7.361401557922363,9.620180208003148e-05,0.00030935381073504686,0.0001983575348276645,0.0002611463132780045,0.00541980005800724,0.0,0.0,0.00017351825954392552
18,8.273922434185515,-19.12740362868665,0.00021426357722072756,0.0028945668275104294,-0.00021135581263219036,7.139830415781034e-08,-16.454992294311523,0.0004103980609215796,-7.798382759094238,-9.492131357546896e-05,0.00021217593166511506,2.1456073227454908e-05,0.0001851455745054409,0.005384099902585149,0.0,0.0,0.00017351825954392552
19,4.935256813823994,-11.982722888662565,-0.00011120016827787925,7.77410685459646,-0.001796182299289355,6.728960784130322e-07,-14.211674690246582,0.0009844126179814339,-6.923465251922607,-0.0008077939273789525,-0.00012873757805209607,8.659876039018854e-05,9.163522918242961e-06,0.0019887000089511275,0.0,0.0,0.00017351825954392552
20,5.834236810587906,6.909531506820598,0.0002560752907642109,-2.746547010837942,-0.00010757101811769775,1.3118085462338058e-07,-15.846689224243164,0.0005425560520961881,-7.519218921661377,-4.910282586934045e-05,0.00022739206906408072,0.0001868519320851192,0.0003452703240327537,0.0025825999910011888,0.0,0.0,0.00017351825954392552
21,7.953662219472727,-23.367021290642096,0.00017012858432653932,1.327854152781649,5.208386422050676e-05,7.495692244674501e-08,-16.406352996826172,0.000373201648471877,-7.8933916091918945,2.393379145360086e-05,0.00017616206605453044,5.741045606555417e-05,0.0002888011222239584,0.005389900063164532,0.0,0.0,0.00017351825954392552
22,21.8999469207233,-25.045868557988985,0.00022013639144613826,-25.315834004542324,0.0003119194325732085,5.1679680836969055e-06,-12.173030853271484,0.0020177559927105904,-6.205769062042236,0.00012767472071573138,0.00010127391578862444,0.003182213054969907,0.00039540164289064705,0.003719699918292463,0.0,0.0,0.00017351825954392552
23,15.742961498823917,-13.290370452907505,-0.0007867015482250682,13.630271228456813,0.0011438147187881503,1.3696375162908225e-06,-13.500964164733887,0.0017772030550986528,-6.332714557647705,0.0005135586252436042,-0.0010221177944913507,0.00029477328644134104,0.00018827992607839406,0.0020941999973729253,0.0,0.0,0.00017351825954392552
24,18.76589413870081,2.023533725216991,-0.00016662170656774568,6.2041483634260395,0.0005330254500084392,6.048669547453756e-07,-14.318257331848145,0.0011161962756887078,-6.797828674316406,0.00023804104421287775,-0.00020249230146873742,0.0004505410324782133,0.0009007848566398025,0.0024152001133188605,0.0,0.0,0.00017351825954392552
25,-14.183621342557,-23.303878932892946,-3.321346152976516e-05,12.736662733514294,0.0006881913517339988,7.772312642373436e-07,-14.067527770996094,0.0010468969121575356,-6.861924648284912,0.00031456927536055446,-3.7814501411048695e-05,0.0011355335591360927,0.00025349267525598407,0.0026413999730721116,0.0,0.0,0.00017351825954392552
26,4.9410328491224424,10.745327124637946,-7.799643852626018e-05,-18.776502350823236,0.0005449223688196494,9.894942110122429e-08,-16.1286563873291,0.00043655294575728476,-7.736600875854492,0.0002442012482788414,-4.441892451723106e-05,0.00027226307429373264,2.3602437067893334e-05,0.002153300098143518,0.0,0.0,0.00017351825954392552
27,-1.2745755201737197,-17.140811715585066,-0.00021121730054246988,-10.893643341235403,0.000779689915312447,1.0869950983760646e-06,-13.732093811035156,0.0012593138962984085,-6.677188396453857,0.00035692579695023596,-0.00015219573106151074,0.0013614590279757977,0.0001389258832205087,0.0026878000935539603,0.0,0.0,0.00017351825954392552
28,6.884354367118857,18.732684736389455,0.0001961581412751112,-2.255834197941062,-0.0002762419465938789,3.4018398764601443e-07,-14.893778800964355,0.0008169864886440337,-7.109888076782227,-0.00012585580407176167,0.00016894523287191987,0.00037011908716522157,0.0006742518162354827,0.0024970000376924872,0.0,0.0,0.00017351825954392552
29,-6.407747143184252,-21.278591043755032,0.0003829679831118903,5.884967874092888,-0.00010262443144159907,8.810560530037037e-07,-13.942144393920898,0.0011596926487982273,-6.7596001625061035,-4.113063187105581e-05,0.00042930623749271035,0.0011582834413275123,0.00022022798657417297,0.0026642000302672386,0.0,0.0,0.00017351825954392552
30,11.27355836448242,-13.01691982857183,-0.001108130419228187,23.31127408004251,-0.0006654523237190481,3.016828259205795e-06,-12.711304664611816,0.0021440384443849325,-6.145063877105713,-0.00029971805633977056,-0.0017030860763043165,6.0315880546113476e-05,0.00022215297212824225,0.002614600001834333,0.0,0.0,0.00017351825954392552
31,2.715783560324555,-12.523109298978616,4.872770995945938e-05,0.8710376416730035,0.0004661473688911348,1.1171100311457849e-07,-16.00735092163086,0.0004690911737270653,-7.664713382720947,0.0002114440721925348,4.949444701196626e-05,0.0003538413147907704,6.246400153031573e-05,0.002598899998702109,0.0,0.0,0.00017351825954392552
